Date,Transaction Count
05-07-2016 00:00,1233988
06-07-2016 00:00,1287527
07-07-2016 00:00,1390824
08-07-2016 00:00,1522846
09-07-2016 00:00,1524478
10-07-2016 00:00,1281036
11-07-2016 00:00,1250963
12-07-2016 00:00,1516811
13-07-2016 00:00,1387888
14-07-2016 00:00,1346327
15-07-2016 00:00,1592460
16-07-2016 00:00,1494192
17-07-2016 00:00,1229133
18-07-2016 00:00,1296245
19-07-2016 00:00,1364281
20-07-2016 00:00,1520172
21-07-2016 00:00,1481198
22-07-2016 00:00,1720594
23-07-2016 00:00,1630022
24-07-2016 00:00,1394459
25-07-2016 00:00,1331170
26-07-2016 00:00,1369399
27-07-2016 00:00,1950432
28-07-2016 00:00,1416690
29-07-2016 00:00,1756226
30-07-2016 00:00,1616364
31-07-2016 00:00,1455015
01-08-2016 00:00,1439245
02-08-2016 00:00,1477628
03-08-2016 00:00,1518125
04-08-2016 00:00,1424051
05-08-2016 00:00,1713080
06-08-2016 00:00,1559225
07-08-2016 00:00,1353178
08-08-2016 00:00,1361192
09-08-2016 00:00,1463543
10-08-2016 00:00,1512116
11-08-2016 00:00,1695352
12-08-2016 00:00,1668196
13-08-2016 00:00,1640048
14-08-2016 00:00,1380614
15-08-2016 00:00,1367337
16-08-2016 00:00,1397397
17-08-2016 00:00,1687428
18-08-2016 00:00,1352016
19-08-2016 00:00,1586679
20-08-2016 00:00,1519851
21-08-2016 00:00,1290316
22-08-2016 00:00,1332447
23-08-2016 00:00,1355903
24-08-2016 00:00,1438491
25-08-2016 00:00,1794726
26-08-2016 00:00,1760818
27-08-2016 00:00,1652679
28-08-2016 00:00,1355050
29-08-2016 00:00,1450263
30-08-2016 00:00,1507889
31-08-2016 00:00,1553828
01-09-2016 00:00,1526269
02-09-2016 00:00,1617901
03-09-2016 00:00,1607859
04-09-2016 00:00,1362162
05-09-2016 00:00,1222718
06-09-2016 00:00,1335856
07-09-2016 00:00,1458853
08-09-2016 00:00,1465661
09-09-2016 00:00,1564222
10-09-2016 00:00,1694964
11-09-2016 00:00,1258860
12-09-2016 00:00,1242693
13-09-2016 00:00,1312428
14-09-2016 00:00,1392652
15-09-2016 00:00,1477626
16-09-2016 00:00,1584186
17-09-2016 00:00,1542276
18-09-2016 00:00,1330794
19-09-2016 00:00,1319885
20-09-2016 00:00,1493538
21-09-2016 00:00,1516258
22-09-2016 00:00,1362380
23-09-2016 00:00,1657562
24-09-2016 00:00,1610955
25-09-2016 00:00,1341259
26-09-2016 00:00,1214406
27-09-2016 00:00,1322529
28-09-2016 00:00,1419307
29-09-2016 00:00,1676190
30-09-2016 00:00,1865440
01-10-2016 00:00,1638367
02-10-2016 00:00,1271226
03-10-2016 00:00,1280761
04-10-2016 00:00,1242075
05-10-2016 00:00,1280331
06-10-2016 00:00,1384854
07-10-2016 00:00,1469471
08-10-2016 00:00,1479429
09-10-2016 00:00,1285386
10-10-2016 00:00,1204635
11-10-2016 00:00,1258031
12-10-2016 00:00,1448566
13-10-2016 00:00,1478440
14-10-2016 00:00,1760523
15-10-2016 00:00,1637830
16-10-2016 00:00,1295185
17-10-2016 00:00,1315435
18-10-2016 00:00,1304420
19-10-2016 00:00,1329205
20-10-2016 00:00,1495061
21-10-2016 00:00,1754892
22-10-2016 00:00,1645212
23-10-2016 00:00,1377580
24-10-2016 00:00,1295873
25-10-2016 00:00,1398937
26-10-2016 00:00,1451868
27-10-2016 00:00,1387983
28-10-2016 00:00,1581842
29-10-2016 00:00,1554436
30-10-2016 00:00,1340643
31-10-2016 00:00,1474876
01-11-2016 00:00,1521787
02-11-2016 00:00,1361520
03-11-2016 00:00,1468120
04-11-2016 00:00,1665392
05-11-2016 00:00,1558896
06-11-2016 00:00,1445474
07-11-2016 00:00,1289880
08-11-2016 00:00,1385375
09-11-2016 00:00,1454412
10-11-2016 00:00,1603282
11-11-2016 00:00,1746878
12-11-2016 00:00,1781566
13-11-2016 00:00,1542977
14-11-2016 00:00,1468821
15-11-2016 00:00,1512788
16-11-2016 00:00,1702897
17-11-2016 00:00,1673007
18-11-2016 00:00,1871987
19-11-2016 00:00,1920649
20-11-2016 00:00,1604364
21-11-2016 00:00,1800266
22-11-2016 00:00,1966289
23-11-2016 00:00,2429359
24-11-2016 00:00,1528699
25-11-2016 00:00,2412536
26-11-2016 00:00,2141279
27-11-2016 00:00,1907013
28-11-2016 00:00,2059107
29-11-2016 00:00,2067494
30-11-2016 00:00,2282000
01-12-2016 00:00,2330767
02-12-2016 00:00,2571056
03-12-2016 00:00,2766622
04-12-2016 00:00,2391303
05-12-2016 00:00,2552559
06-12-2016 00:00,2672209
07-12-2016 00:00,2912001
08-12-2016 00:00,2998716
09-12-2016 00:00,3669570
10-12-2016 00:00,4380284
11-12-2016 00:00,3127329
12-12-2016 00:00,3390802
13-12-2016 00:00,3725434
14-12-2016 00:00,4597319
15-12-2016 00:00,4554696
16-12-2016 00:00,5277314
17-12-2016 00:00,5389438
18-12-2016 00:00,4904273
19-12-2016 00:00,5872888
20-12-2016 00:00,6380584
21-12-2016 00:00,6996039
22-12-2016 00:00,8295627
23-12-2016 00:00,11257897
24-12-2016 00:00,9818129
25-12-2016 00:00,2045569
26-12-2016 00:00,3176649
27-12-2016 00:00,3267285
28-12-2016 00:00,3156262
29-12-2016 00:00,3010110
30-12-2016 00:00,3261470
31-12-2016 00:00,3050193
01-01-2017 00:00,2002787
02-01-2017 00:00,2308711
03-01-2017 00:00,2274992
04-01-2017 00:00,2018019
05-01-2017 00:00,2057712
06-01-2017 00:00,2114769
07-01-2017 00:00,2070229
08-01-2017 00:00,1780947
09-01-2017 00:00,1664268
10-01-2017 00:00,1743149
11-01-2017 00:00,1808687
12-01-2017 00:00,1957351
13-01-2017 00:00,2080456
14-01-2017 00:00,2009118
15-01-2017 00:00,1641312
16-01-2017 00:00,1672306
17-01-2017 00:00,1604584
18-01-2017 00:00,1705323
19-01-2017 00:00,1724448
20-01-2017 00:00,1855218
21-01-2017 00:00,2021698
22-01-2017 00:00,2228767
23-01-2017 00:00,1408754
24-01-2017 00:00,1768059
25-01-2017 00:00,1671512
26-01-2017 00:00,1687973
27-01-2017 00:00,2305131
28-01-2017 00:00,2387119
29-01-2017 00:00,1701264
30-01-2017 00:00,1723394
31-01-2017 00:00,1742152
01-02-2017 00:00,1742426
02-02-2017 00:00,1791946
03-02-2017 00:00,2041936
04-02-2017 00:00,2031259
05-02-2017 00:00,1524177
06-02-2017 00:00,1425011
07-02-2017 00:00,1491208
08-02-2017 00:00,1658092
09-02-2017 00:00,1743872
10-02-2017 00:00,1889596
11-02-2017 00:00,1984017
12-02-2017 00:00,1650457
13-02-2017 00:00,2026339
14-02-2017 00:00,2220226
15-02-2017 00:00,1594549
16-02-2017 00:00,1600193
17-02-2017 00:00,1758162
18-02-2017 00:00,1708618
19-02-2017 00:00,1461351
20-02-2017 00:00,1438065
21-02-2017 00:00,1505961
22-02-2017 00:00,1619468
23-02-2017 00:00,1719976
24-02-2017 00:00,1898103
25-02-2017 00:00,1826230
26-02-2017 00:00,1572527
27-02-2017 00:00,1490879
28-02-2017 00:00,1674999
01-03-2017 00:00,1602804
02-03-2017 00:00,1601786
03-03-2017 00:00,1809479
04-03-2017 00:00,1816641
05-03-2017 00:00,1526739
06-03-2017 00:00,1493739
07-03-2017 00:00,1525707
08-03-2017 00:00,1575561
09-03-2017 00:00,1597547
10-03-2017 00:00,1736775
11-03-2017 00:00,1746730
12-03-2017 00:00,1424766
13-03-2017 00:00,1448590
14-03-2017 00:00,1468068
15-03-2017 00:00,1525569
16-03-2017 00:00,1675707
17-03-2017 00:00,1860093
18-03-2017 00:00,1905297
19-03-2017 00:00,1653951
20-03-2017 00:00,1538136
21-03-2017 00:00,2088114
22-03-2017 00:00,1636094
23-03-2017 00:00,1714770
24-03-2017 00:00,1590778
25-03-2017 00:00,1628568
26-03-2017 00:00,1216615
27-03-2017 00:00,1334073
28-03-2017 00:00,1385728
29-03-2017 00:00,1411686
30-03-2017 00:00,2815591
31-03-2017 00:00,1980385
01-04-2017 00:00,1921986
02-04-2017 00:00,1441786
03-04-2017 00:00,1471163
04-04-2017 00:00,1550333
05-04-2017 00:00,1524122
06-04-2017 00:00,1508472
07-04-2017 00:00,1853093
08-04-2017 00:00,1788749
09-04-2017 00:00,1527098
10-04-2017 00:00,1601050
11-04-2017 00:00,1768053
12-04-2017 00:00,1830557
